volgnr,lat,lon,kwp
496,52.318574,4.955278,2258
497,52.289638,4.974114,2258
498,52.342366,4.804401,1920
499,52.396643,4.786587,488160
500,52.319378,4.987111,29520
501,52.423603,4.891056,2258
502,52.41744,4.90456,2258
503,52.388492,4.95874,2258
504,52.395636,4.763799,7200
505,52.361856,4.979961,2258
506,52.330997,4.864259,2400
507,52.344346,4.825361,2258
508,52.370103,4.856355,720
509,52.345167,4.796543,2258
510,52.361772,4.929725,1440
511,52.416377,4.89753,2258
512,52.380998,4.837014,2258
513,52.342799,4.909288,1920
514,52.390141,4.959929,7440
515,52.346399,4.950135,2258
516,52.324498,4.986009,2258
517,52.389045,4.957398,2258
518,52.351146,4.777383,2258
519,52.347515,4.784551,2258
520,52.353109,4.995203,2258
521,52.344449,4.952591,2258
522,52.350144,4.934849,2258
523,52.409017,4.931501,2258
524,52.343021,4.950535,7200
525,52.314345,4.94171,997440
526,52.299947,4.992402,2258
527,52.356789,4.993864,2258
528,52.391463,4.935809,720
529,52.343902,4.800551,2258
530,52.344562,4.92547,1440
531,52.352393,4.879903,4800
532,52.418918,4.896812,2258
533,52.352333,4.880726,7200
534,52.342517,4.950276,2258
535,52.322038,4.966172,2258
536,52.298031,4.99453,2258
537,52.369589,4.832471,2258
538,52.361659,4.822352,2258
539,52.380271,4.831471,7680
540,52.381053,4.859117,8160
541,52.338433,4.898683,2258
542,52.403975,4.940869,2258
543,52.36924,4.832696,2258
544,52.297858,4.980767,2258
545,52.303828,5.019931,2258
546,52.341061,4.845637,9840
547,52.37137,4.941476,720
548,52.375548,4.832411,2258
549,52.372043,4.948327,2880
550,52.353759,4.820427,2258
551,52.361834,4.978728,2258
552,52.360843,4.789728,17040
553,52.419095,4.907261,2258
554,52.353491,4.86784,1200
555,52.350319,4.815202,2258
556,52.300944,4.997627,2258
557,52.362589,4.93186,8400
558,52.312711,4.976921,2258
559,52.405898,4.910857,14160
560,52.343727,4.792468,2258
561,52.325536,4.863018,2258
562,52.353891,4.780002,2258
563,52.349123,4.789534,2258
564,52.356888,4.908417,3120
565,52.347476,4.782071,2258
566,52.35513,4.883263,1920
567,52.395465,4.763801,4560
568,52.374894,4.770977,2258
569,52.355996,4.851107,480
570,52.372469,4.810659,2258
571,52.304917,4.966436,2400
572,52.399651,4.947892,2258
573,52.410016,4.900246,2258
574,52.343067,4.791831,2258
575,52.346037,4.877525,2258
576,52.410209,4.899053,2258
577,52.346283,4.863698,1920
578,52.356649,4.994996,2258
579,52.341816,4.820682,2258
580,52.347414,4.87999,2258
581,52.373206,4.937228,2258
582,52.348284,4.781869,2258
583,52.3821,4.834459,2258
584,52.339387,4.894754,2400
585,52.352711,4.866132,2400
586,52.304899,4.966378,2258
587,52.356352,4.939028,2258
588,52.408242,4.933228,2258
589,52.362003,4.826532,2258
590,52.388547,4.88779,3360
591,52.379379,4.858505,11040
592,52.40948,4.925735,2258
593,52.346268,4.784861,2258
594,52.306878,5.017839,2258
595,52.362201,4.978167,960
596,52.366414,4.829927,2258
597,52.354424,4.935393,720
598,52.374009,4.845544,20400
599,52.381189,4.849231,5760
600,52.361515,4.977366,2258
601,52.314744,4.952412,35280
602,52.347722,4.924469,2258
603,52.318231,4.990671,2258
604,52.383263,4.856755,1920
605,52.341774,4.799259,12240
606,52.352704,4.848592,13680
607,52.356629,4.908758,1200
608,52.380407,4.829795,7920
609,52.316423,4.98507,2258
610,52.364858,4.937533,480
611,52.351342,4.938066,1200
612,52.383588,4.831547,2258
613,52.378052,4.84128,27840
614,52.407773,4.928207,2258
615,52.300631,4.998026,2258
616,52.353744,4.828544,2258
617,52.32473,4.861546,2258
618,52.346015,4.789942,2258
619,52.404798,4.896777,2258
620,52.390569,4.852628,56640
621,52.383109,4.790339,2258
622,52.343304,4.808689,2258
623,52.365739,4.835632,10320
624,52.380402,4.858097,6960
625,52.320638,4.944478,2880
626,52.386007,4.882105,6960
627,52.323489,4.882052,2258
628,52.348024,4.923659,2258
629,52.401307,4.90904,2258
630,52.35162,4.996053,2258
631,52.362231,4.858519,720
632,52.347459,4.880062,2258
633,52.316421,4.956384,4560
634,52.358009,4.907745,1440
635,52.353543,4.910229,5280
636,52.365715,4.851929,720
637,52.342754,4.808402,2258
638,52.380863,4.792264,2258
639,52.342249,4.924658,2258
640,52.417801,4.883359,2258
641,52.361179,4.979145,2258
642,52.365778,4.840109,10080
643,52.352475,4.938246,0
644,52.420088,4.90384,0
645,52.321062,4.985292,2258
646,52.363655,4.871759,8640
647,52.347365,4.779724,2258
648,52.367193,4.829388,2880
649,52.382907,4.871976,960
650,52.355862,4.998746,2258
651,52.343169,4.823747,2258
652,52.322002,4.966201,2258
653,52.339775,4.926268,12960
654,52.36281,4.824232,2258
655,52.393927,4.941,2258
656,52.389757,4.906418,2258
657,52.351208,5.002148,2258
658,52.3503,4.884448,3360
659,52.358305,4.90758,2160
660,52.378853,4.869703,960
661,52.349659,4.883633,2258
662,52.327154,4.979589,2258
663,52.342754,4.909303,2640
664,52.319119,4.966757,2258
665,52.395393,4.763788,5760
666,52.361757,4.824025,2258
667,52.301735,4.971275,2258
668,52.303507,4.969206,2258
669,52.351143,4.773303,2258
670,52.348636,4.814739,2258
671,52.381554,4.801244,5760
672,52.348868,4.778368,2258
673,52.368298,4.831063,2258
674,52.347041,4.929759,2258
675,52.344276,4.801808,2258
676,52.295501,4.969633,2258
677,52.368971,4.854386,720
678,52.382172,4.789838,2258
679,52.344859,4.79596,2258
680,52.304027,4.968776,2258
681,52.323507,4.962271,2258
682,52.36061,4.843931,1680
683,52.327166,4.98311,2258
684,52.355326,4.821097,2258
685,52.326688,4.977525,2258
686,52.383266,4.831933,2258
687,52.374178,4.82027,2258
688,52.349025,4.880544,2258
689,52.379784,4.850658,1440
690,52.352078,4.849187,2880
691,52.388318,4.955349,3840
692,52.378531,4.851819,2400
693,52.345437,4.789334,2258
694,52.361026,4.821377,2258
695,52.326898,4.85998,2258
696,52.31427,4.953105,1440
697,52.367632,4.831071,2258
698,52.357866,4.90782,1440
699,52.421527,4.897621,2258
700,52.352203,4.771468,2258
701,52.37949,4.796321,2258
702,52.409834,4.89312,2258
703,52.353023,4.993575,2258
704,52.322198,4.981043,2258
705,52.360476,4.82686,3600
706,52.325519,4.863224,2258
707,52.390867,4.939855,2400
708,52.352296,4.855804,1680
709,52.382252,4.78969,2258
710,52.345795,4.877499,2258
711,52.406558,4.923091,2258
712,52.361301,4.824427,2258
713,52.360503,4.826668,2258
714,52.308381,4.952518,101520
715,52.361736,4.979067,2258
716,52.34401,4.788106,2258
717,52.394983,4.76444,3120
718,52.354995,4.992222,2258
719,52.423549,4.890953,2258
720,52.2994,4.969347,2258
721,52.374471,4.948582,2258
722,52.345149,4.785874,2258
723,52.316743,4.965738,2258
724,52.393245,4.924817,2258
725,52.324374,4.860421,2258
726,52.345612,4.78669,2258
727,52.417585,4.876983,2258
728,52.324243,4.863239,2258
729,52.417788,4.890944,31440
730,52.306678,5.01441,2258
731,52.380453,4.85745,1440
732,52.374373,4.86065,17760
733,52.401986,4.914631,2258
734,52.35947,4.992006,2258
735,52.325133,4.985182,2258
736,52.364911,4.827552,4800
737,52.359944,4.991121,2258
738,52.390202,4.87339,720
739,52.406926,4.911551,10080
740,52.343375,4.948903,2258
741,52.340806,4.797877,2258
742,52.30358,4.969498,2258
743,52.360502,4.82658,2258
744,52.346677,4.910333,1680
745,52.347179,4.780197,2258
746,52.354007,4.860627,2258
747,52.30329,4.968651,2258
748,52.331275,4.87234,37680
749,52.352694,4.77083,2258
750,52.423758,4.895935,2258
751,52.350692,4.831239,4800
