MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,"Aantal Aansluitingen",%Leveringsrichting,"%Fysieke status","%Defintieve aansl (NRM)","%Soort aansluiting","Soort aansluiting Naam",SJV,"%SJV laag tarief","%Slimme Meter","Gemiddeld aantal telwielen"
"Liander N.V.","Liander N.V. (NW)",,"Korte Koningsdwarsstraat",1011GB,1011GC,AMSTERDAM,NL,ELK,KVB,21,100,76.19,100,38,1x25,1858,71.43,71.43,1
,"GAS Liander",,"Korte Koningsdwarsstraat",1011GB,1011GD,AMSTERDAM,NL,GAS,KVB,60,100,98.33,100,97,G4,1261,0,81.67,
"Liander N.V.","Liander N.V. (NW)",,Keizersstraat,1011GD,1011GD,AMSTERDAM,NL,ELK,KVB,52,94.23,96.15,100,65,1x35,2302,84.62,80.77,1.3
,"Liander N.V. (NW)",,"Korte Keizersstraat",1011GG,1011GG,AMSTERDAM,NL,ELK,KVB,22,100,100,100,77,1x35,1407,72.73,72.73,1
,"GAS Liander",,"Korte Keizersstraat",1011GG,1011GG,AMSTERDAM,NL,GAS,KVB,19,100,100,100,100,G4,1112,0,68.42,
,"GAS Liander",,"Korte Keizersstraat",1011GH,1011GH,AMSTERDAM,NL,GAS,KVB,20,100,100,100,90,G4,1165,0,75,
,"Liander N.V. (NW)",,"Korte Keizersstraat",1011GH,1011GH,AMSTERDAM,NL,ELK,KVB,24,100,100,100,88,1x25,1448,79.17,75,1.2
,"GAS Liander",,"Korte Keizersdwarsstraat",1011GJ,1011GJ,AMSTERDAM,NL,GAS,KVB,16,100,100,100,100,G4,1316,0,81.25,
,"Liander N.V. (NW)",,"Korte Keizersdwarsstraat",1011GJ,1011GJ,AMSTERDAM,NL,ELK,KVB,18,100,100,100,83,1x25,2292,83.33,83.33,1
,"GAS Liander",,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,GAS,KVB,80,100,96.25,100,99,G4,781,0,67.5,
,"Liander N.V. (NW)",,Kleersloot,1011GK,1011GL,AMSTERDAM,NL,ELK,KVB,93,100,94.62,100,77,1x25,1790,67.74,65.59,1
