MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Verversstraat,1011JA,1011JA,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,92,3x25,2286,4.17,0,1.2,52.36893752,4.898905067
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,40,100,100,100,95,3x25,2104,10,0,1.7,52.36994403,4.901137763
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JB,1011JB,AMSTERDAM,NL,ELK,KVB,40,100,100,100,95,3x25,2104,10,0,1.7,52.36994403,4.901137763,52.36935045,4.901109394
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JC,1011JG,AMSTERDAM,NL,ELK,KVB,22,100,95.45,100,95,3x25,2455,4.55,0,1.2,52.36902259,4.899517235
Liander N.V.,Liander N.V. (NW),Liander NW,Zwanenburgwal,1011JH,1011JH,AMSTERDAM,NL,ELK,KVB,90,100,93.33,100,96,3x25,4299,5.56,0,1.5,52.36843126,4.898842712
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JJ,1011JJ,AMSTERDAM,NL,ELK,KVB,12,100,83.33,100,83,3x25,6438,8.33,0,1.4,52.36834588,4.897139106
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JK,1011JK,AMSTERDAM,NL,ELK,KVB,11,100,100,100,91,3x25,8753,18.18,0,1.4,52.36827113,4.898188296
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JL,1011JL,AMSTERDAM,NL,ELK,KVB,29,100,100,100,97,3x25,8186,10.34,0,1.4,52.36821489,4.896984492
Liander N.V.,Liander N.V. (NW),Liander NW,Staalstraat,1011JM,1011JM,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,92,3x25,5776,7.69,0,1.7,52.36813923,4.898125775
Liander N.V.,Liander N.V. (NW),Liander NW,Staalkade,1011JN,1011JN,AMSTERDAM,NL,ELK,KVB,18,100,100,100,94,3x25,3828,5.56,0,1.3,52.3677589,4.897843187
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JP,1011JP,AMSTERDAM,NL,ELK,KVB,14,100,100,100,86,3x25,10666,28.57,0,1.5,52.37262819,4.901055119
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JR,1011JR,AMSTERDAM,NL,ELK,KVB,13,100,100,100,92,3x25,8458,15.38,0,1.2,52.3724527,4.900924883
Liander N.V.,Liander N.V. (NW),Liander NW,Nieuwmarkt,1011JS,1011JT,AMSTERDAM,NL,ELK,KVB,25,100,88,100,84,3x25,14292,24,0,1.5,52.37180408,4.899992752
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JV,1011JV,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,100,3x25,2132,11.11,0,1.2,52.37139185,4.899639427
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JW,1011JW,AMSTERDAM,NL,ELK,KVB,10,100,100,100,100,3x25,8581,40,0,1.4,52.37076719,4.898939021
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JX,1011JX,AMSTERDAM,NL,ELK,KVB,15,100,93.33,100,93,3x25,4808,26.67,0,1.3,52.37046109,4.898662585
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JZ,1011JZ,AMSTERDAM,NL,ELK,KVB,19,100,100,100,95,3x25,6530,15.79,0,1.2,52.37014393,4.898421677
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KA,1011KA,AMSTERDAM,NL,ELK,KVB,33,100,100,100,97,3x25,3030,6.06,0,1.1,52.36944806,4.897821626
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KB,1011KB,AMSTERDAM,NL,ELK,KVB,26,100,100,100,81,3x25,6730,15.38,0,1.5,52.36894153,4.897298142
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KC,1011KC,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,93,3x25,4006,10.71,0,1.5,52.36853076,4.896935276
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KD,1011KD,AMSTERDAM,NL,ELK,KVB,16,100,100,100,88,3x25,9911,18.75,0,2.8,52.36817025,4.896549146
