MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JX,1011JX,AMSTERDAM,NL,ELK,KVB,16,100,87.5,100,69,1x25,4615,25,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011JZ,1011JZ,AMSTERDAM,NL,ELK,KVB,19,100,100,100,74,1x25,7112,10.53,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KA,1011KA,AMSTERDAM,NL,ELK,KVB,33,100,100,100,82,1x25,3839,3.03,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KB,1011KB,AMSTERDAM,NL,ELK,KVB,27,100,96.3,100,67,3x25,6138,11.11,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KC,1011KC,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,54,1x25,3749,10.71,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KD,1011KD,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,3x25,9156,18.75,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Kloveniersburgwal,1011KE,1011KE,AMSTERDAM,NL,ELK,KVB,10,100,80,100,60,3x25,10546,30,0,1.3
Liander N.V.,Liander N.V. (NW),Liander NW,Raamgracht,1011KH,1011KH,AMSTERDAM,NL,ELK,KVB,22,100,100,100,41,3x25,3867,22.73,9.09,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Raamgracht,1011KJ,1011KJ,AMSTERDAM,NL,ELK,KVB,38,100,97.37,100,50,1x25,2724,7.89,5.26,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Raamgracht,1011KK,1011KK,AMSTERDAM,NL,ELK,KVB,33,100,93.94,100,61,1x25,2099,12.12,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Raamgracht AB,1011KL,1011KM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,57,1x25,4527,28.57,14.29,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,'s-Gravelandse Veer,1011KN,1011KN,AMSTERDAM,NL,ELK,KVB,22,100,100,100,59,1x25,2386,13.64,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KP,1011KP,AMSTERDAM,NL,ELK,KVB,31,100,70.97,100,48,3x25,3332,3.23,3.23,1
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KR,1011KR,AMSTERDAM,NL,ELK,KVB,23,100,82.61,100,52,1x25,2766,8.7,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KS,1011KS,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,3x25,2859,6.67,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KT,1011KT,AMSTERDAM,NL,ELK,KVB,29,100,100,100,62,1x25,3246,6.9,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KV,1011KW,AMSTERDAM,NL,ELK,KVB,92,100,97.83,100,74,3x25,2516,7.61,1.09,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011KX,1011KZ,AMSTERDAM,NL,ELK,KVB,42,100,92.86,100,48,1x25,2498,4.76,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Oudeschans,1011LA,1011LA,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,75,1x25,2049,0,0,1
